country,categoria_expectativa_vida,gdp_per_capita_current_us$,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,infant_mortality_rate_per_1_000_live_births,tiene_dato_gini,ratio_servicios_agri
Australia,Mortalidad_Baja,62544.0873773726,87.7,5407.4382264583,82.3,2.22073827026642,65.6128523578267,3.4,1.0,29.545513416110573
Australia,Mortalidad_Baja,68190.7010035651,88.0,5533.38146350965,82.1487804878049,2.28547861762825,66.1769460296851,3.5,0.0,28.95539932828602
Australia,Mortalidad_Baja,68072.8732340801,87.0,5533.72233837943,82.0463414634146,2.26781756709032,65.0950399070324,3.6,0.0,28.703825586178585
Australia,Mortalidad_Baja,62605.600458306,87.0,5698.65597309349,81.8951219512195,2.29239672089776,64.5593873783184,3.8,0.0,28.16239736769268
Australia,Mortalidad_Baja,52144.6654705468,87.0,5762.9435664152,81.6951219512195,2.2044403145849,65.6485131738942,4.0,1.0,29.78012729106523
Australia,Mortalidad_Baja,42816.5674002829,86.0,5843.93312947132,81.5439024390244,2.30109850559796,64.0214643411781,4.2,0.0,27.82213111930277
Australia,Mortalidad_Baja,49701.2817843335,87.0,5951.19291532561,81.3951219512195,2.3420923019017,64.4201693922411,4.4,1.0,27.50539307948457
Australia,Mortalidad_Baja,41051.6120652288,88.0,5853.76413229662,81.2926829268293,2.20601401439639,64.2867046885144,4.5,0.0,29.14156676656678
Australia,Mortalidad_Baja,36595.7071548423,88.0,5775.11675226564,81.0414634146342,2.73103337885222,63.6747250108795,4.7,0.0,23.315249642844087
Australia,Mortalidad_Baja,34479.7679298388,88.0,5624.49561264785,80.8414634146341,2.88586426810108,64.3318544003838,4.8,0.0,22.292058261878903
Australia,Mortalidad_Baja,30836.7306824685,86.0,5652.13037917952,80.490243902439,3.06160592253807,64.2465070149024,4.8,1.0,20.9845775845776
Australia,Mortalidad_Baja,23718.1338501868,85.0,5615.57675632995,80.2390243902439,2.88740742216489,64.270558878756,4.9,1.0,22.258915865280937
Australia,Mortalidad_Baja,20301.8431713256,83.0,5480.23464289818,79.9365853658537,3.94502714007345,63.9531440446509,4.9,0.0,16.211078345955357
Australia,Mortalidad_Baja,19695.7297379144,87.0,5486.39455905443,79.6341463414634,3.49688013321987,64.1653543529705,5.0,1.0,18.34931479160771
Australia,Mortalidad_Baja,21870.4159669594,87.0,5681.22885913159,79.2341463414634,3.11042835542061,64.3681508554734,5.1,0.0,20.694304288763846
Australia,Mortalidad_Baja,20448.1219685874,70.0,5138.24234027092,77.8292682926829,3.00960378827297,62.4603203413963,5.8,1.0,20.75366883334451
Austria,Mortalidad_Baja,52176.6649141178,82.9,3465.29053401054,81.2951219512195,1.37475103789849,63.0102397070656,2.7,1.0,45.83392772220493
Austria,Mortalidad_Baja,53648.7190742245,84.8,3726.61916635312,81.190243902439,1.21593848387113,62.2999318438832,2.8,1.0,51.236088560616686
Austria,Mortalidad_Baja,48716.4098900349,84.0,3546.32771195638,81.1926829268293,1.07138113272871,62.8123620241372,2.9,1.0,58.62746701928552
Austria,Mortalidad_Baja,49885.9947355204,77.4,3765.98011899602,81.8951219512195,1.04463413653499,62.5614077818279,2.9,1.0,59.88834329054343
Austria,Mortalidad_Baja,51194.0749841299,73.5,3717.62532112148,81.6926829268293,1.10911414021412,62.2430323743685,3.0,1.0,56.119591408646336
Austria,Mortalidad_Baja,47163.7425775142,75.2,3839.94805232106,81.6439024390244,1.19990203076681,61.8559536613009,3.0,1.0,51.55083671437009
Austria,Mortalidad_Baja,45061.4993920192,72.0,3797.16802222945,81.6414634146342,1.14928264077268,61.764351964317,3.0,1.0,53.74165568427267
Austria,Mortalidad_Baja,43915.228020857,69.0,3795.51037374619,81.190243902439,1.14362854172989,62.1631640037401,3.1,1.0,54.35607956208409
Austria,Mortalidad_Baja,51314.9722616322,75.5,3750.34480080041,81.490243902439,1.27555801772568,61.8415922139115,3.2,1.0,48.48199090479245
Austria,Mortalidad_Baja,50305.3545774973,78.0,3924.82135403554,81.1365853658537,1.27784992108872,61.5862394505333,3.3,1.0,48.195205426050514
Austria,Mortalidad_Baja,48250.4059142637,79.0,3899.1648418957,80.9365853658537,1.41768134316306,61.3539590600962,3.4,1.0,43.27767968167396
Austria,Mortalidad_Baja,51116.8953522042,79.0,3927.58256477323,80.9829268292683,1.46130648071081,61.6607142402264,3.5,1.0,42.195607187229704
Austria,Mortalidad_Baja,46611.1393420232,81.0,4065.04189639106,80.5804878048781,1.29288595990855,61.6368683831245,3.6,1.0,47.67386319786802
Austria,Mortalidad_Baja,47857.4446635266,81.0,3819.49986886808,80.3317073170732,1.17655306368833,61.5565047607551,3.7,1.0,52.31936124307393
Austria,Mortalidad_Baja,51581.3982361071,86.0,4027.90556617748,80.4317073170732,1.38504114785417,60.4339457519,3.8,1.0,43.63332154104569
Austria,Mortalidad_Baja,46622.9622913635,87.0,4010.09514877294,80.1804878048781,1.46196340335606,59.9241173078912,3.9,1.0,40.98879436402467
Austria,Mortalidad_Baja,40382.2078298575,84.0,4105.07525027388,79.8804878048781,1.32751796800624,60.2518374028565,4.0,1.0,45.38683381690642
Austria,Mortalidad_Baja,38157.37022862,80.0,4084.35261902051,79.3317073170732,1.28239498294254,60.1404134231844,4.1,1.0,46.89695002173842
Austria,Mortalidad_Baja,36614.2506533707,78.0,3974.50636807099,79.1804878048781,1.4931762753994,59.9626359213759,4.2,1.0,40.157774342709054
Austria,Mortalidad_Baja,32110.1159661425,78.0,3956.93894640762,78.6317073170732,1.4869307559019,60.1110513234663,4.3,1.0,40.42626133387486
Austria,Mortalidad_Baja,26334.862215032,77.0,3771.71949185232,78.6780487804878,1.59223426298384,59.9083022318199,4.4,0.0,37.62530654223708
Austria,Mortalidad_Baja,24430.495982841,76.0,3758.79316326234,78.5756097560976,1.70825527346988,59.1867003943807,4.5,0.0,34.647456567868915
Austria,Mortalidad_Baja,24487.2974685956,75.0,3570.94853169443,78.1268292682927,1.67089601150509,58.894981312158,4.5,1.0,35.24754437537216
Austria,Mortalidad_Baja,30207.0674314652,90.0,3374.07611625172,76.6682926829268,2.18502137013502,58.4507297015153,5.7,1.0,26.75064441035807
Azerbaijan,Mortalidad_Media,7770.594223351,28.6,1720.31588810935,74.125,4.61220830811053,32.0714593346256,14.1,0.0,6.953601657199266
Azerbaijan,Mortalidad_Media,5408.04535175023,46.8,1630.73477502983,70.999,5.72598365721349,37.7011733502712,14.8,0.0,6.584226502773187
Azerbaijan,Mortalidad_Media,4229.91064904503,38.7,1542.52180985426,70.312,6.7389474235341,42.3542363329985,15.6,0.0,6.284992843999175
Azerbaijan,Mortalidad_Media,4805.75371765917,44.7,1594.11077298348,73.29,5.69538024963307,36.972533524144,16.6,0.0,6.491670775893495
Azerbaijan,Mortalidad_Media,4739.7943123408,39.9,1471.37027563956,73.016,5.21238076212356,35.2831743494981,17.6,0.0,6.769109157544255
Azerbaijan,Mortalidad_Media,4147.1981423222,37.6,1478.78418442924,72.694,5.60736901068842,38.1231713246647,18.7,0.0,6.79876270885627
Azerbaijan,Mortalidad_Media,3880.6852276838,29.0,1480.9342834589,72.568,5.60511177455763,39.322666701972,19.8,0.0,7.015500900528507
Azerbaijan,Mortalidad_Media,5500.50364628486,28.0,1510.91856857889,72.349,6.17763883780802,40.6504229496138,21.1,0.0,6.58025242602845
Azerbaijan,Mortalidad_Media,7890.84028062087,22.7,1526.15877863995,71.93,5.31940671805552,34.1869146526,22.5,0.0,6.426828491335373
Azerbaijan,Mortalidad_Media,7875.34536661549,24.0,1497.90257470252,71.485,5.3662644804235,31.4925578357568,24.1,0.0,5.86861828198066
Azerbaijan,Mortalidad_Media,7495.86527658099,24.0,1497.29486664714,71.08,5.13976950772418,29.522301196302,25.7,0.0,5.743895937733222
Azerbaijan,Mortalidad_Media,7189.81869211976,23.0,1396.04478051641,70.565,5.07622595138436,27.7128374486387,27.5,0.0,5.45933883047129
Azerbaijan,Mortalidad_Media,5843.5337683582,19.0,1305.91209278641,70.309,5.54456611326975,28.216178028965,29.5,0.0,5.088978551709489
Azerbaijan,Mortalidad_Media,4950.39949009423,21.0,1391.33099195543,69.874,6.12193306461806,31.3211521986433,31.6,0.0,5.116219316356964
Azerbaijan,Mortalidad_Media,5574.46810432575,24.0,1587.24837009442,69.355,5.57089184098542,23.6588501440061,33.7,0.0,4.246869409660115
