country,categoria_expectativa_vida,rec_government_integrity,rec_energy_use_kg_of_oil_equivalent_per_capita,rec_life_expectancy_at_birth_total_years,rec_agriculture_value_added_of_gdp,rec_services_value_added_of_gdp,rec_infant_mortality_rate_per_1_000_live_births,rec_tiene_dato_gini,rec_ratio_servicios_agri,gdp_per_capita_current_us$
Algeria,Mortalidad_Media,-0.6113609432792796,-0.4739432424501145,0.1462700172332086,0.4049514696676134,-0.8731788909728527,-0.2953919992978337,-0.9751175115276143,-0.2329638804076931,1772.92869122761
Algeria,Mortalidad_Media,-0.6736197818346348,-0.4305263821962915,-0.4580616179161008,0.518157881508993,-0.6949395025765457,0.405975275083141,1.0829667557008,-0.22283666548744752,1466.94806760415
Angola,Mortalidad_Alta,-0.6260399103071352,-0.5159621550094506,-0.4922220167065761,0.5191572641327123,-0.7303688261872902,0.4021744568042035,-0.910082288840504,-0.23605474808200994,2929.69445467272
Angola,Mortalidad_Alta,-0.6146015379848385,-0.51444129528843,-0.5756661619191414,0.39020841964188846,-0.6358798394720232,0.45664025823992527,-0.9025301663013667,-0.2408943640900132,1925.87466082167
Angola,Mortalidad_Alta,-0.5918291390120266,-0.5036718419064131,-0.6340233731827416,0.17239381832681222,-0.4962030034756321,0.4692135875372285,-0.9406721552685557,-0.2459939572471238,1449.92286669308
Angola,Mortalidad_Alta,-0.5912331606492256,-0.4971786879819554,-0.6430259898321362,0.13705283459919493,-0.46901625686703996,0.47246843266503136,-0.8929127873904632,-0.2451117309722306,2189.85571407618
Angola,Mortalidad_Alta,-0.708847368458544,-0.35829879092266714,-0.6945002907977555,0.26140618377484837,-0.3822965743897848,0.6022470080398064,1.104154134489955,-0.1926014550463686,2538.59139143371
Angola,Mortalidad_Alta,-0.598669957136041,-0.5074531918632922,-0.7939518336323101,0.11927775721459,-0.4121595586804237,0.6138169566557894,-0.9616833213280667,-0.24656465445707398,2437.25971190821
Angola,Mortalidad_Alta,-0.6043694684110871,-0.5012695525737568,-0.8668326084634639,0.07823195090416424,-0.3566488133018842,0.6784914617517357,-0.9277885591498787,-0.2442167842437265,1807.95294072643
Angola,Mortalidad_Alta,-0.6206702993077146,-0.466600016908941,-0.9681038333741674,-0.040114242433937464,-0.21394394753886173,0.7617905316047442,-0.911587457870523,-0.2298407962459868,3213.90261080059
Angola,Mortalidad_Alta,-0.6152975316918922,-0.4889308974048853,-0.9890630090924721,0.007031567501334712,-0.2571551941692437,0.7864403448948873,-0.9435920886920723,-0.2381471584649833,5005.9997412707
Angola,Mortalidad_Alta,-0.6128842069810593,-0.5234112881180902,-1.024745745495384,0.11429226808726545,-0.3414928765520798,0.8359314257278045,-0.903999667573135,-0.25024759643730476,5057.74787833163
Angola,Mortalidad_Alta,-0.631812612987956,-0.5345599804163497,-1.1013903913271126,0.21982577532104153,-0.3755969797471065,0.9315304802831981,-0.8773695762302891,-0.24828847492740402,5086.02740086376
Angola,Mortalidad_Alta,-0.6436994843926803,-0.5415653182412982,-1.2072548945542838,0.2467577525239577,-0.3553639454221965,1.039703359989643,-0.8729173871364284,-0.2476658424124052,4615.91059831778
Angola,Mortalidad_Alta,-0.6489464720406363,-0.5448896171037437,-1.3602046222929904,0.18726427314689365,-0.27065324966030707,1.176193108291259,-0.8913201274502509,-0.2486078281551471,3597.34293216332
Angola,Mortalidad_Alta,-0.6450794997199056,-0.5335169940838427,-1.5701717682762522,-0.025761545129664942,-0.0714134255547973,1.33912830368933,-0.9306049977673505,-0.248900376255562,3136.64546955947
Angola,Mortalidad_Alta,-0.7428856691105428,-0.4598383604160394,-1.548400952901301,0.30690637578337565,-0.20187636336441536,1.4249645771106998,1.104034857152451,-0.22219112070238384,4103.0669003635
Angola,Mortalidad_Alta,-0.7127029009435976,-0.5814009540999446,-1.6984068846096967,0.48351569027317,-0.3238164402416304,1.564124967204546,-0.8289288003424276,-0.24239127463774118,3141.0459797605
Angola,Mortalidad_Alta,-0.717487351617063,-0.5859670906336256,-1.8851987403998087,0.4038553771751193,-0.21823544197140335,1.729231284092654,-0.8407015967234865,-0.24442187505124402,2617.05196022633
Angola,Mortalidad_Alta,-0.7307966271072128,-0.599611086402097,-1.9994054758205273,0.4628589603178128,-0.22068493084921806,1.8512434255225834,-0.7777323335761748,-0.2462301240389107,1916.46842218625
Angola,Mortalidad_Alta,-0.737771649098908,-0.6020391660967735,-2.2083290122730173,0.37106265588626786,-0.09648761957822832,2.0358095796892837,-0.8229773564160894,-0.24666554867427415,1266.21086410236
Angola,Mortalidad_Alta,-0.7462239692246986,-0.6087157233426493,-2.349187608819213,0.35307082371659426,-0.04119466226527374,2.168722297457359,-0.8171188597290842,-0.24765662952816603,992.698979254665
