country,categoria_expectativa_vida,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_government_integrity,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,gdp_per_capita_current_us$
Armenia,Mortalidad_Media,0.03740069296740115,0.8370866404135817,0.1280759822876777,0.06279896642896095,0.05474078975610532,3041.34450723339
Armenia,Mortalidad_Media,0.03905796133112301,0.835655922908753,0.09598953458077568,0.06336352596956735,0.0396931459611341,2820.5926553347
Armenia,Mortalidad_Media,0.04471417926797726,0.835655922908753,0.09283303904971496,0.07493248369055514,0.03971621564149361,3777.66859313767
Armenia,Mortalidad_Media,0.04216005930784012,0.8327944878990958,0.11903296378932822,0.07069504379515736,0.05088562077288875,2962.70234594569
Armenia,Mortalidad_Media,0.03752353691520612,0.8320965769211317,0.1433067855557604,0.05893807702066906,0.05728332625140545,2041.65267068997
Armenia,Mortalidad_Media,0.03660785806705981,0.8356908184576521,0.3170291948402192,0.05943415174348468,0.13078445590742258,1557.48458908655
Armenia,Mortalidad_Media,0.03026777547663469,0.8349929074796867,0.21177270830732978,0.059119427576114034,0.10488941454048939,1130.08791444158
Armenia,Mortalidad_Media,0.028441747119434483,0.8321314724700293,0.32561125048321266,0.05560521711741878,0.16118538559114498,882.030167695474
Armenia,Mortalidad_Media,0.0267644380417223,0.8321314724700293,0.3000856221017393,0.05237721845019196,0.1485623318437328,742.651118319819
Armenia,Mortalidad_Media,0.028533292182499843,0.8342601009528234,0.4603397696596856,0.04648449711505923,0.18984330522947795,659.588988535629
Armenia,Mortalidad_Media,0.028577276176492073,0.8328991745457914,0.3526141915628037,0.04655503682450259,0.14544917246593497,593.450581742282
Armenia,Mortalidad_Media,0.02262788388170039,0.7720650662404749,0.35917968561533997,0.04371690668100731,0.17498602947190645,443.924860857976
Australia,Mortalidad_Baja,0.2264688652679761,0.9805422419343299,0.033502549688976466,0.1254915097823566,0.004807591270978389,64997.0136536475
Australia,Mortalidad_Baja,0.23487558835354838,0.9819729594391586,0.028827724838060034,0.12608276157163598,0.004014087210635808,60607.7788605166
Australia,Mortalidad_Baja,0.242221851505143,0.9805422419343299,0.025137469751440926,0.13074670744052005,0.0035256660041065807,51791.540179984
Australia,Mortalidad_Baja,0.24532236075362507,0.976250089419844,0.026447722228124044,0.14799568244446804,0.0041431887300224955,54972.7017885437
Australia,Mortalidad_Baja,0.24468818766815312,0.9740865653881521,0.03080450086961993,0.15238169522956882,0.004972921781938737,57196.4220783778
Australia,Mortalidad_Baja,0.2466244429666687,0.9705272194005292,0.03392295940721603,0.15892382078141631,0.005661203413530853,53901.7145392154
Australia,Mortalidad_Baja,0.2416615153999087,0.969794412873666,0.03011496516147589,0.14560902073370985,0.004704741686521673,49888.0410842736
Australia,Mortalidad_Baja,0.2463802508248559,0.9690965018957007,0.029740829114421805,0.1466142350233271,0.004589553666668105,56739.0265346593
Australia,Mortalidad_Baja,0.2505000054584776,0.9676657843908718,0.02777602328828369,0.13767349825415226,0.003961946655069917,62544.0873773726
Australia,Mortalidad_Baja,0.2563448500467474,0.9655022603591801,0.02859535142186667,0.14039974310642178,0.004063547405227835,68190.7010035651
Australia,Mortalidad_Baja,0.2563606695594466,0.9640366473054525,0.028371840177889497,0.14202228176735743,0.004078492826226153,68072.8732340801
Australia,Mortalidad_Baja,0.26401500245458326,0.9618731232737605,0.02868290419028267,0.14625528257764644,0.0041226965152411236,62605.600458306
Australia,Mortalidad_Baja,0.2669984972472897,0.9590116882641033,0.027569762831645625,0.14790521550426938,0.003964513786006912,52144.6654705468
Australia,Mortalidad_Baja,0.27075710644630446,0.9568481642324114,0.02879303052274439,0.15172780006711686,0.004186466297875065,42816.5674002829
Australia,Mortalidad_Baja,0.275734878921962,0.9547195357496172,0.02931183173377754,0.15273661116141135,0.004212070137511712,49701.2817843335
